	geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0	DDX11L1	1.2930448500290976	-0.235390043	0.1901234562511525	-1.238090491	0.2156825093038916	0.3976176886589154
1	WASH7P	110.00436062606936	-0.019676777	0.053564494	-0.367347381	0.7133599158410817	0.8340188644472449
8	RP11-34P13.7	14.223276615619438	0.4815295041076299	0.1457699949335117	3.3033513126433465	0.000955366	0.011469304
9	CICP27	111.23434770027436	0.247304485	0.1076517535737386	2.297263877943836	0.021603721	0.087208174
10	RP11-34P13.15	3294.427026764165	0.1377113423230655	0.076161057	1.808159557804322	0.070581671	0.1913031586258521
11	RP11-34P13.16	1809.421625719232	0.1403043872460527	0.073382695	1.9119546729540453	0.055882008	0.1639630848003438
12	RP11-34P13.14	75.68180494	0.2078348908552191	0.08703714	2.387887399354434	0.016945533	0.0747539
13	RP11-34P13.13	62.68965811552659	-0.063086487	0.08129687	-0.776001427	0.4377481431963033	0.6228093568916352
16	ABC7-43046700E7.1	7.141360081137693	-0.07726402	0.1377937808779932	-0.560722113	0.5749869902864271	0.7363858088670845
17	RP11-34P13.18	207.1259248630541	-0.080056107	0.047839832	-1.673419484	0.094244745	0.2305304461301393
19	AP006222.2	128.54471	0.2272853422735916	0.1033360827691372	2.199477047928835	0.027844019	0.1033518166411561
23	RP4-669L17.10	38.939140665676014	-0.01037159	0.073410551	-0.141282002	0.8876471671823624	0.9391956166212366
27	RP4-669L17.8	24.66117390393688	-0.117597673	0.1347309216878957	-0.872833582	0.3827537924387316	0.5722449754293077
29	RP5-857K21.4	1.466724384424402	-0.007990212	0.1508737759632915	-0.052959584	0.9577641096675932	0.9768424504044751
31	MTND1P23	226.6955435582152	0.2581311033207334	0.1827681650597599	1.4123417129910565	0.1578493698026608	0.3238608559367072
32	MTND2P28	2089.401223088148	-0.150171681	0.084388816	-1.779521135	0.075154363	0.1994179111956672
33	MTCO1P12	810.9276649708736	-0.243147957	0.1149394147092357	-2.115444537	0.034392077	0.1191888451232855
34	MTCO2P12	114.15195878876835	-0.272887851	0.094115083	-2.899512419	0.003737435	0.027916463
35	MTATP8P1	17.76733975133282	-0.219474039	0.1055957561710528	-2.078436167	0.037669204	0.1264311415345843
36	MTATP6P1	9797.860801852874	-0.283135891	0.070725936	-4.003282319	6.246968055679171e-05	0.001912211
37	MTCO3P12	117.0987163732645	-0.164309375	0.107035318	-1.535094939	0.1247605093628134	0.2768697507343485
41	CICP3	2.5917585729500754	0.1165442077804642	0.117722743	0.9899888943180886	0.3221795472945014	0.5147478678045085
42	RP11-206L10.2	412.2559347062655	-0.054611368	0.065752576	-0.830558599	0.406223031	0.593986009
45	RP11-206L10.9	17.45137729472532	0.1671942007585543	0.065371722	2.557592128437116	0.010539963	0.054572711
46	RP11-206L10.8	8.472892635123678	0.050163437	0.074735807	0.671210213	0.5020866232952115	0.6770673350716979
47	FAM87B	4.069275987006035	-0.043057095	0.095531854	-0.450709299	0.652199079	0.7926107828228145
48	LINC01128	243.2070165558546	-0.099044704	0.063167164	-1.567977686	0.11688634	0.2656268934012794
49	LINC00115	53.78594186454927	-0.029790548	0.0706963	-0.421387649	0.6734720368327487	0.8078418011350262
50	FAM41C	1.5755961066949835	-0.254321716	0.1790631639700952	-1.420290527	0.1555231179072862	0.3211382678619957
